vertex_number,arista_number,r_value,̩s_connex,n_connexions,computation_time
71,0,0,0,71,0
71,1838,0.05,0,2,0
71,740,0.1,0,3,0
71,322,0.15,0,9,0
71,216,0.2,0,14,0
71,133,0.25,0,22,0
71,77,0.3,0,30,0
71,22,0.35,0,53,0
71,22,0.4,0,53,0
71,22,0.45,0,53,0
71,22,0.5,0,53,0
71,0,0.55,0,71,0
71,0,0.6,0,71,0
71,0,0.65,0,71,0
71,0,0.7,0,71,0
71,0,0.75,0,71,0
71,0,0.8,0,71,0
71,0,0.85,0,71,0
71,0,0.9,0,71,0
71,0,0.95,0,71,0
71,0,0,0,71,0
71,1838,0.05,0,2,0
71,740,0.1,0,3,0
71,322,0.15,0,9,0
71,216,0.2,0,14,0
71,133,0.25,0,22,0
71,77,0.3,0,30,0
71,22,0.35,0,53,0
71,22,0.4,0,53,0
71,22,0.45,0,53,0
71,22,0.5,0,53,0
71,0,0.55,0,71,0
71,0,0.6,0,71,0
71,0,0.65,0,71,0
71,0,0.7,0,71,0
71,0,0.75,0,71,0
71,0,0.8,0,71,0
71,0,0.85,0,71,0
71,0,0.9,0,71,0
71,0,0.95,0,71,0
71,0,0,0,71,0
71,1838,0.05,0,2,0
71,740,0.1,0,3,0
71,322,0.15,0,9,0
71,216,0.2,0,14,0
71,133,0.25,0,22,0
71,77,0.3,0,30,0
71,22,0.35,0,53,0
71,22,0.4,0,53,0
71,22,0.45,0,53,0
71,22,0.5,0,53,0
71,0,0.55,0,71,0
71,0,0.6,0,71,0
71,0,0.65,0,71,0
71,0,0.7,0,71,0
71,0,0.75,0,71,0
71,0,0.8,0,71,0
71,0,0.85,0,71,0
71,0,0.9,0,71,0
71,0,0.95,0,71,0
71,0,0,0,71,0
71,1838,0.05,0,2,0
71,740,0.1,0,3,0
71,322,0.15,0,9,1.84467e+16
71,216,0.2,0,14,0
71,133,0.25,0,22,0
71,77,0.3,0,30,0
71,22,0.35,0,53,0
71,22,0.4,0,53,0
71,22,0.45,0,53,0
71,22,0.5,0,53,0
71,0,0.55,0,71,0
71,0,0.6,0,71,0
71,0,0.65,0,71,0
71,0,0.7,0,71,0
71,0,0.75,0,71,0
71,0,0.8,0,71,0
71,0,0.85,0,71,0
71,0,0.9,0,71,0
71,0,0.95,0,71,0
71,0,0,0,71,0
71,1838,0.05,0,2,0
71,740,0.1,0,3,0
71,322,0.15,0,9,0
71,216,0.2,0,14,0
71,133,0.25,0,22,0
71,77,0.3,0,30,0
71,22,0.35,0,53,0
71,22,0.4,0,53,0
71,22,0.45,0,53,0
71,22,0.5,0,53,0
71,0,0.55,0,71,0
71,0,0.6,0,71,0
71,0,0.65,0,71,0
71,0,0.7,0,71,0
71,0,0.75,0,71,0
71,0,0.8,0,71,0
71,0,0.85,0,71,0
71,0,0.9,0,71,0
71,0,0.95,0,71,0
79,0,0,0,79,0
79,2226,0.05,0,2,0
79,858,0.1,0,3,0
79,366,0.15,0,9,0
79,246,0.2,0,14,0
79,151,0.25,0,23,0
79,86,0.3,0,33,0
79,24,0.35,0,59,0
79,24,0.4,0,59,0
79,24,0.45,0,59,0
79,24,0.5,0,59,0
79,0,0.55,0,79,0
79,0,0.6,0,79,0
79,0,0.65,0,79,0
79,0,0.7,0,79,0
79,0,0.75,0,79,0
79,0,0.8,0,79,0
79,0,0.85,0,79,0
79,0,0.9,0,79,0
79,0,0.95,0,79,0
79,0,0,0,79,0
79,2226,0.05,0,2,0
79,858,0.1,0,3,0
79,366,0.15,0,9,0
79,246,0.2,0,14,0
79,151,0.25,0,23,0
79,86,0.3,0,33,0
79,24,0.35,0,59,0
79,24,0.4,0,59,0
79,24,0.45,0,59,0
79,24,0.5,0,59,0
79,0,0.55,0,79,0
79,0,0.6,0,79,0
79,0,0.65,0,79,0
79,0,0.7,0,79,0
79,0,0.75,0,79,0
79,0,0.8,0,79,0
79,0,0.85,0,79,0
79,0,0.9,0,79,0
79,0,0.95,0,79,0
79,0,0,0,79,0
79,2226,0.05,0,2,0
79,858,0.1,0,3,0
79,366,0.15,0,9,0
79,246,0.2,0,14,0
79,151,0.25,0,23,0
79,86,0.3,0,33,0
79,24,0.35,0,59,0
79,24,0.4,0,59,0
79,24,0.45,0,59,0
79,24,0.5,0,59,0
79,0,0.55,0,79,0
79,0,0.6,0,79,0
79,0,0.65,0,79,0
79,0,0.7,0,79,0
79,0,0.75,0,79,0
79,0,0.8,0,79,0
79,0,0.85,0,79,0
79,0,0.9,0,79,0
79,0,0.95,0,79,0
79,0,0,0,79,0
79,2226,0.05,0,2,0
79,858,0.1,0,3,1.84467e+16
79,366,0.15,0,9,0
79,246,0.2,0,14,0
79,151,0.25,0,23,0
79,86,0.3,0,33,0
79,24,0.35,0,59,0
79,24,0.4,0,59,0
79,24,0.45,0,59,0
79,24,0.5,0,59,0
79,0,0.55,0,79,0
79,0,0.6,0,79,0
79,0,0.65,0,79,0
79,0,0.7,0,79,0
79,0,0.75,0,79,0
79,0,0.8,0,79,0
79,0,0.85,0,79,0
79,0,0.9,0,79,0
79,0,0.95,0,79,0
79,0,0,0,79,0
79,2226,0.05,0,2,0
79,858,0.1,0,3,0
79,366,0.15,0,9,0
79,246,0.2,0,14,0
79,151,0.25,0,23,0
79,86,0.3,0,33,0
79,24,0.35,0,59,0
79,24,0.4,0,59,0
79,24,0.45,0,59,0
79,24,0.5,0,59,0
79,0,0.55,0,79,0
79,0,0.6,0,79,0
79,0,0.65,0,79,0
79,0,0.7,0,79,0
79,0,0.75,0,79,0
79,0,0.8,0,79,0
79,0,0.85,0,79,0
79,0,0.9,0,79,0
79,0,0.95,0,79,0
77,0,0,0,77,0
77,2129,0.05,0,2,0
77,822,0.1,0,3,0
77,350,0.15,0,9,0
77,236,0.2,0,14,0
77,145,0.25,0,23,0
77,83,0.3,0,32,0
77,23,0.35,0,58,0
77,23,0.4,0,58,0
77,23,0.45,0,58,0
77,23,0.5,0,58,0
77,0,0.55,0,77,0
77,0,0.6,0,77,0
77,3,0.65,0,74,0
77,3,0.7,0,74,0
77,3,0.75,0,74,0
77,3,0.8,0,74,0
77,3,0.85,0,74,0
77,3,0.9,0,74,0
77,3,0.95,0,74,0
77,0,0,0,77,0
77,1991,0.05,1,1,0
77,732,0.1,0,3,0
77,314,0.15,0,13,0
77,202,0.2,0,15,0
77,143,0.25,0,18,0
77,91,0.3,0,28,0
77,31,0.35,0,56,0
77,31,0.4,0,56,0
77,31,0.45,0,56,0
77,31,0.5,0,56,0
77,3,0.55,0,74,0
77,3,0.6,0,74,0
77,3,0.65,0,74,0
77,3,0.7,0,74,0
77,3,0.75,0,74,0
77,3,0.8,0,74,0
77,3,0.85,0,74,0
77,3,0.9,0,74,0
77,3,0.95,0,74,0
77,0,0,0,77,0
77,1991,0.05,1,1,1.84467e+16
77,732,0.1,0,3,0
77,314,0.15,0,13,0
77,202,0.2,0,15,0
77,143,0.25,0,18,0
77,91,0.3,0,28,0
77,31,0.35,0,56,0
77,31,0.4,0,56,0
77,31,0.45,0,56,0
77,31,0.5,0,56,0
77,3,0.55,0,74,0
77,3,0.6,0,74,0
77,3,0.65,0,74,0
77,3,0.7,0,74,0
77,3,0.75,0,74,0
77,3,0.8,0,74,0
77,3,0.85,0,74,0
77,3,0.9,0,74,0
77,3,0.95,0,74,0
77,0,0,0,77,0
77,1991,0.05,1,1,0
77,732,0.1,0,3,0
77,314,0.15,0,13,1.84467e+16
77,202,0.2,0,15,0
77,143,0.25,0,18,0
77,91,0.3,0,28,0
77,31,0.35,0,56,0
77,31,0.4,0,56,0
77,31,0.45,0,56,0
77,31,0.5,0,56,0
77,3,0.55,0,74,0
77,3,0.6,0,74,0
77,3,0.65,0,74,0
77,3,0.7,0,74,0
77,3,0.75,0,74,0
77,3,0.8,0,74,0
77,3,0.85,0,74,0
77,3,0.9,0,74,0
77,3,0.95,0,74,0
77,0,0,0,77,0
77,1991,0.05,1,1,0
77,732,0.1,0,3,0
77,314,0.15,0,13,0
77,202,0.2,0,15,0
77,143,0.25,0,18,0
77,91,0.3,0,28,0
77,31,0.35,0,56,0
77,31,0.4,0,56,0
77,31,0.45,0,56,0
77,31,0.5,0,56,0
77,3,0.55,0,74,0
77,3,0.6,0,74,0
77,3,0.65,0,74,0
77,3,0.7,0,74,0
77,3,0.75,0,74,0
77,3,0.8,0,74,0
77,3,0.85,0,74,0
77,3,0.9,0,74,0
77,3,0.95,0,74,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
42,0,0,0,42,0
42,552,0.05,1,1,0
42,193,0.1,0,3,0
42,88,0.15,0,12,0
42,62,0.2,0,14,0
42,46,0.25,0,16,0
42,28,0.3,0,23,0
42,7,0.35,0,37,0
42,7,0.4,0,37,0
42,7,0.45,0,37,0
42,7,0.5,0,37,0
42,2,0.55,0,40,0
42,2,0.6,0,40,0
42,2,0.65,0,40,0
42,2,0.7,0,40,0
42,2,0.75,0,40,0
42,2,0.8,0,40,0
42,2,0.85,0,40,0
42,2,0.9,0,40,0
42,2,0.95,0,40,0
